feature,importance,std,rank
TSLA_SMA_20,0.047200000000000006,0.018977881862842303,1
TSLA_MACD,0.03180000000000003,0.00524976189936268,2
AAPL_Volatility_20,0.028800000000000027,0.0064000000000000055,3
GOOGL_MACD,0.025800000000000024,0.007236021006050223,4
AAPL_MACD,0.019400000000000018,0.004651881339845207,5
^VIX_BB_lower,0.015200000000000014,0.008207313811473283,6
GOOGL_Return_1d,0.01260000000000001,0.004651881339845207,7
AMZN_Return_10d,0.01140000000000001,0.0043863424398922655,8
AMZN_MACD,0.010600000000000009,0.0033526109228480447,9
AAPL_Return_1d,0.010000000000000009,0.004979959839195498,10
MSFT_MACD,0.009600000000000008,0.005919459434779502,11
^VIX_MACD_signal,0.009000000000000008,0.006016643582596535,12
AMZN_Return_5d,0.007800000000000007,0.0069541354602854905,13
^VIX_Volatility_20,0.007400000000000006,0.004004996878900161,14
AAPL_SMA_20,0.007000000000000006,0.006826419266350412,15
AMZN_RSI_14,0.006200000000000006,0.00922821759604747,16
^VIX_SMA_20,0.006000000000000005,0.0035777087639996667,17
MSFT_RSI_14,0.005200000000000005,0.008634813257969168,18
^VIX_Return_5d,0.0030000000000000027,0.006276941930590092,19
TSLA_Return_1d,0.0016000000000000014,0.006740919818541093,20
